model,accuracy,precision,recall,macro_f1,balanced_accuracy,transformation,privacy_mode,privacy_intensity,run_name,best_epoch,epochs,batch_size,image_size,num_workers,metrics_path,checkpoint_path
mobilenet_v3_large,0.9337334933973589,0.9342808061988206,0.9337334933973589,0.9333493866661869,0.9337334933973589,baseline_clean,none,0.0,mobilenet_v3_large_none_0p0_cnn_baseline,9,10,64,224,4,C:\Users\Tiago\Documents\GitHub\privacy-fer\results\models\mobilenet_v3_large_none_0p0_cnn_baseline_metrics.json,C:\Users\Tiago\Documents\GitHub\privacy-fer\results\models\mobilenet_v3_large_none_0p0_cnn_baseline_best.pt
resnet18,0.9620648259303721,0.9620794736987793,0.9620648259303722,0.9620343470951813,0.9620648259303722,baseline_clean,none,0.0,resnet18_none_0p0_light_ft_resnet,11,12,64,224,4,C:\Users\Tiago\Documents\GitHub\privacy-fer\results\models\resnet18_none_0p0_light_ft_resnet_metrics.json,C:\Users\Tiago\Documents\GitHub\privacy-fer\results\models\resnet18_none_0p0_light_ft_resnet_best.pt
resnet18,0.9527010804321728,0.9532006544098378,0.9527010804321729,0.9526710566429388,0.9527010804321729,baseline_clean,none,0.0,resnet18_none_0p0_cnn_baseline,8,10,64,224,4,C:\Users\Tiago\Documents\GitHub\privacy-fer\results\models\resnet18_none_0p0_cnn_baseline_metrics.json,C:\Users\Tiago\Documents\GitHub\privacy-fer\results\models\resnet18_none_0p0_cnn_baseline_best.pt
resnet18,0.9430972388955582,0.9430640586168436,0.9430972388955582,0.9426025369612375,0.9430972388955582,baseline_clean,none,0.0,resnet18_none_0p0_tradeoff_none_0p0_nw4,5,5,64,224,4,C:\Users\Tiago\Documents\GitHub\privacy-fer\results\models\resnet18_none_0p0_tradeoff_none_0p0_nw4_metrics.json,C:\Users\Tiago\Documents\GitHub\privacy-fer\results\models\resnet18_none_0p0_tradeoff_none_0p0_nw4_best.pt
swin_t,0.9620648259303721,0.9621171846157273,0.9620648259303722,0.9619962639904652,0.9620648259303722,baseline_clean,none,0.0,swin_t_none_0p0_light_ft_swin,8,12,32,224,4,C:\Users\Tiago\Documents\GitHub\privacy-fer\results\models\swin_t_none_0p0_light_ft_swin_metrics.json,C:\Users\Tiago\Documents\GitHub\privacy-fer\results\models\swin_t_none_0p0_light_ft_swin_best.pt
swin_t,0.9536614645858343,0.9537062710352578,0.9536614645858345,0.9534711458498988,0.9536614645858345,baseline_clean,none,0.0,swin_t_none_0p0_nw4,9,10,32,224,4,C:\Users\Tiago\Documents\GitHub\privacy-fer\results\models\swin_t_none_0p0_nw4_metrics.json,C:\Users\Tiago\Documents\GitHub\privacy-fer\results\models\swin_t_none_0p0_nw4_best.pt
vit_b_16,0.9490996398559424,0.9491531159232595,0.9490996398559425,0.9489942385985835,0.9490996398559425,baseline_clean,none,0.0,vit_b_16_none_0p0_light_ft_vit,8,12,24,224,4,C:\Users\Tiago\Documents\GitHub\privacy-fer\results\models\vit_b_16_none_0p0_light_ft_vit_metrics.json,C:\Users\Tiago\Documents\GitHub\privacy-fer\results\models\vit_b_16_none_0p0_light_ft_vit_best.pt
vit_b_16,0.9454981992797119,0.9471472576128521,0.9454981992797119,0.9454846627978669,0.9454981992797119,baseline_clean,none,0.0,vit_b_16_none_0p0_vit_baseline,10,10,24,224,4,C:\Users\Tiago\Documents\GitHub\privacy-fer\results\models\vit_b_16_none_0p0_vit_baseline_metrics.json,C:\Users\Tiago\Documents\GitHub\privacy-fer\results\models\vit_b_16_none_0p0_vit_baseline_best.pt
resnet18,0.9464585834333733,0.946513907987778,0.9464585834333733,0.9460419245277442,0.9464585834333733,blur,blur,3.0,resnet18_blur_3p0_fixed_deid,10,10,64,224,4,C:\Users\Tiago\Documents\GitHub\privacy-fer\results\models\resnet18_blur_3p0_fixed_deid_metrics.json,C:\Users\Tiago\Documents\GitHub\privacy-fer\results\models\resnet18_blur_3p0_fixed_deid_best.pt
resnet18,0.9370948379351741,0.9383053771785003,0.937094837935174,0.9368008193926232,0.937094837935174,blur,blur,3.0,resnet18_blur_3p0_tradeoff_blur_3p0_nw4,5,5,64,224,4,C:\Users\Tiago\Documents\GitHub\privacy-fer\results\models\resnet18_blur_3p0_tradeoff_blur_3p0_nw4_metrics.json,C:\Users\Tiago\Documents\GitHub\privacy-fer\results\models\resnet18_blur_3p0_tradeoff_blur_3p0_nw4_best.pt
resnet18,0.92124849939976,0.9225170721125908,0.92124849939976,0.9215587835061452,0.92124849939976,blur,blur,3.0,resnet18_blur_3p0_proxy_sweep,3,4,64,224,4,C:\Users\Tiago\Documents\GitHub\privacy-fer\results\models\resnet18_blur_3p0_proxy_sweep_metrics.json,C:\Users\Tiago\Documents\GitHub\privacy-fer\results\models\resnet18_blur_3p0_proxy_sweep_best.pt
resnet18,0.9334933973589435,0.9331632525734123,0.9334933973589435,0.9330371548944694,0.9334933973589435,blur,blur,5.0,resnet18_blur_5p0_deid,10,10,64,224,4,C:\Users\Tiago\Documents\GitHub\privacy-fer\results\models\resnet18_blur_5p0_deid_metrics.json,C:\Users\Tiago\Documents\GitHub\privacy-fer\results\models\resnet18_blur_5p0_deid_best.pt
resnet18,0.9058823529411765,0.9068203011631703,0.9058823529411765,0.90524369126903,0.9058823529411765,blur,blur,5.0,resnet18_blur_5p0_tradeoff_blur_5p0_nw4,5,5,64,224,4,C:\Users\Tiago\Documents\GitHub\privacy-fer\results\models\resnet18_blur_5p0_tradeoff_blur_5p0_nw4_metrics.json,C:\Users\Tiago\Documents\GitHub\privacy-fer\results\models\resnet18_blur_5p0_tradeoff_blur_5p0_nw4_best.pt
resnet18,0.9013205282112845,0.9019625106755013,0.9013205282112845,0.9007104158798597,0.9013205282112845,blur,blur,5.0,resnet18_blur_5p0_proxy_sweep,4,4,64,224,4,C:\Users\Tiago\Documents\GitHub\privacy-fer\results\models\resnet18_blur_5p0_proxy_sweep_metrics.json,C:\Users\Tiago\Documents\GitHub\privacy-fer\results\models\resnet18_blur_5p0_proxy_sweep_best.pt
resnet18,0.8756302521008403,0.8768128373176307,0.8756302521008402,0.8735090024980308,0.8756302521008402,blur,blur,7.0,resnet18_blur_7p0_proxy_sweep,4,4,64,224,4,C:\Users\Tiago\Documents\GitHub\privacy-fer\results\models\resnet18_blur_7p0_proxy_sweep_metrics.json,C:\Users\Tiago\Documents\GitHub\privacy-fer\results\models\resnet18_blur_7p0_proxy_sweep_best.pt
resnet18,0.8888355342136854,0.8913935789861993,0.8888355342136853,0.8892169581297711,0.8888355342136853,blur,blur,9.0,resnet18_blur_9p0_tradeoff_blur_9p0_nw4,5,5,64,224,4,C:\Users\Tiago\Documents\GitHub\privacy-fer\results\models\resnet18_blur_9p0_tradeoff_blur_9p0_nw4_metrics.json,C:\Users\Tiago\Documents\GitHub\privacy-fer\results\models\resnet18_blur_9p0_tradeoff_blur_9p0_nw4_best.pt
swin_t,0.9366146458583433,0.9379163788512352,0.9366146458583433,0.9365854228434463,0.9366146458583433,blur,blur,3.0,swin_t_blur_3p0_fixed_deid,8,10,32,224,4,C:\Users\Tiago\Documents\GitHub\privacy-fer\results\models\swin_t_blur_3p0_fixed_deid_metrics.json,C:\Users\Tiago\Documents\GitHub\privacy-fer\results\models\swin_t_blur_3p0_fixed_deid_best.pt
vit_b_16,0.9135654261704682,0.9156724942941503,0.9135654261704682,0.9137510308000124,0.9135654261704682,blur,blur,3.0,vit_b_16_blur_3p0_fixed_deid,10,10,24,224,4,C:\Users\Tiago\Documents\GitHub\privacy-fer\results\models\vit_b_16_blur_3p0_fixed_deid_metrics.json,C:\Users\Tiago\Documents\GitHub\privacy-fer\results\models\vit_b_16_blur_3p0_fixed_deid_best.pt
resnet18,0.8343337334933973,0.8432422590604908,0.8343337334933975,0.8341718086862671,0.8343337334933975,canny,edges,0.0,resnet18_edges_0p0_tradeoff_edges_0p0_nw4,5,5,64,224,4,C:\Users\Tiago\Documents\GitHub\privacy-fer\results\models\resnet18_edges_0p0_tradeoff_edges_0p0_nw4_metrics.json,C:\Users\Tiago\Documents\GitHub\privacy-fer\results\models\resnet18_edges_0p0_tradeoff_edges_0p0_nw4_best.pt
resnet18,0.9138055222088836,0.9175975392791008,0.9138055222088836,0.9134612654639422,0.9138055222088836,crop_context_removal,crop,0.65,resnet18_crop_0p65_proxy_sweep,4,4,64,224,4,C:\Users\Tiago\Documents\GitHub\privacy-fer\results\models\resnet18_crop_0p65_proxy_sweep_metrics.json,C:\Users\Tiago\Documents\GitHub\privacy-fer\results\models\resnet18_crop_0p65_proxy_sweep_best.pt
resnet18,0.956062424969988,0.9562860965733609,0.9560624249699882,0.9561063738139765,0.9560624249699882,crop_context_removal,crop,0.75,resnet18_crop_0p75_fixed_deid,10,10,64,224,4,C:\Users\Tiago\Documents\GitHub\privacy-fer\results\models\resnet18_crop_0p75_fixed_deid_metrics.json,C:\Users\Tiago\Documents\GitHub\privacy-fer\results\models\resnet18_crop_0p75_fixed_deid_best.pt
resnet18,0.9486194477791117,0.9488769787759501,0.9486194477791116,0.948394259076946,0.9486194477791116,crop_context_removal,crop,0.75,resnet18_crop_0p75_deid,9,10,64,224,4,C:\Users\Tiago\Documents\GitHub\privacy-fer\results\models\resnet18_crop_0p75_deid_metrics.json,C:\Users\Tiago\Documents\GitHub\privacy-fer\results\models\resnet18_crop_0p75_deid_best.pt
resnet18,0.9358943577430973,0.9359633787378309,0.935894357743097,0.9356443913066711,0.935894357743097,crop_context_removal,crop,0.75,resnet18_crop_0p75_proxy_sweep,4,4,64,224,4,C:\Users\Tiago\Documents\GitHub\privacy-fer\results\models\resnet18_crop_0p75_proxy_sweep_metrics.json,C:\Users\Tiago\Documents\GitHub\privacy-fer\results\models\resnet18_crop_0p75_proxy_sweep_best.pt
resnet18,0.9308523409363746,0.9311187247084847,0.9308523409363746,0.9305411689138338,0.9308523409363746,crop_context_removal,crop,0.85,resnet18_crop_0p85_proxy_sweep,3,4,64,224,4,C:\Users\Tiago\Documents\GitHub\privacy-fer\results\models\resnet18_crop_0p85_proxy_sweep_metrics.json,C:\Users\Tiago\Documents\GitHub\privacy-fer\results\models\resnet18_crop_0p85_proxy_sweep_best.pt
swin_t,0.9529411764705882,0.9526185384219537,0.9529411764705884,0.9526769339929374,0.9529411764705884,crop_context_removal,crop,0.75,swin_t_crop_0p75_fixed_deid,8,10,32,224,4,C:\Users\Tiago\Documents\GitHub\privacy-fer\results\models\swin_t_crop_0p75_fixed_deid_metrics.json,C:\Users\Tiago\Documents\GitHub\privacy-fer\results\models\swin_t_crop_0p75_fixed_deid_best.pt
vit_b_16,0.9418967587034814,0.9435642255483823,0.9418967587034814,0.9419709297654248,0.9418967587034814,crop_context_removal,crop,0.75,vit_b_16_crop_0p75_fixed_deid,6,10,24,224,4,C:\Users\Tiago\Documents\GitHub\privacy-fer\results\models\vit_b_16_crop_0p75_fixed_deid_metrics.json,C:\Users\Tiago\Documents\GitHub\privacy-fer\results\models\vit_b_16_crop_0p75_fixed_deid_best.pt
resnet18,0.8631452581032413,0.865462349205133,0.8631452581032414,0.8627389523087194,0.8631452581032414,mosaic,mosaic,4.0,resnet18_mosaic_4p0_proxy_sweep,3,4,64,224,4,C:\Users\Tiago\Documents\GitHub\privacy-fer\results\models\resnet18_mosaic_4p0_proxy_sweep_metrics.json,C:\Users\Tiago\Documents\GitHub\privacy-fer\results\models\resnet18_mosaic_4p0_proxy_sweep_best.pt
resnet18,0.8472989195678271,0.8482247789580272,0.8472989195678272,0.8470778312941265,0.8472989195678272,mosaic,mosaic,8.0,resnet18_mosaic_8p0_fixed_deid,10,10,64,224,4,C:\Users\Tiago\Documents\GitHub\privacy-fer\results\models\resnet18_mosaic_8p0_fixed_deid_metrics.json,C:\Users\Tiago\Documents\GitHub\privacy-fer\results\models\resnet18_mosaic_8p0_fixed_deid_best.pt
resnet18,0.8136854741896759,0.8156273326312371,0.8136854741896759,0.8141519251297273,0.8136854741896759,mosaic,mosaic,8.0,resnet18_mosaic_8p0_proxy_sweep,4,4,64,224,4,C:\Users\Tiago\Documents\GitHub\privacy-fer\results\models\resnet18_mosaic_8p0_proxy_sweep_metrics.json,C:\Users\Tiago\Documents\GitHub\privacy-fer\results\models\resnet18_mosaic_8p0_proxy_sweep_best.pt
resnet18,0.7248499399759903,0.7274413589989693,0.7248499399759903,0.7244324470199572,0.7248499399759903,mosaic,mosaic,12.0,resnet18_mosaic_12p0_proxy_sweep,4,4,64,224,4,C:\Users\Tiago\Documents\GitHub\privacy-fer\results\models\resnet18_mosaic_12p0_proxy_sweep_metrics.json,C:\Users\Tiago\Documents\GitHub\privacy-fer\results\models\resnet18_mosaic_12p0_proxy_sweep_best.pt
swin_t,0.8408163265306122,0.843340930411413,0.8408163265306123,0.8402409053888007,0.8408163265306123,mosaic,mosaic,8.0,swin_t_mosaic_8p0_fixed_deid,10,10,32,224,4,C:\Users\Tiago\Documents\GitHub\privacy-fer\results\models\swin_t_mosaic_8p0_fixed_deid_metrics.json,C:\Users\Tiago\Documents\GitHub\privacy-fer\results\models\swin_t_mosaic_8p0_fixed_deid_best.pt
vit_b_16,0.7968787515006003,0.7983298637540069,0.7968787515006003,0.79650926747995,0.7968787515006003,mosaic,mosaic,8.0,vit_b_16_mosaic_8p0_fixed_deid,10,10,24,224,4,C:\Users\Tiago\Documents\GitHub\privacy-fer\results\models\vit_b_16_mosaic_8p0_fixed_deid_metrics.json,C:\Users\Tiago\Documents\GitHub\privacy-fer\results\models\vit_b_16_mosaic_8p0_fixed_deid_best.pt
resnet18,0.8156062424969988,0.8157999339398521,0.815606242496999,0.8133744114102079,0.815606242496999,noise,noise,50.0,resnet18_noise_50p0_tradeoff_noise_50p0_nw4,5,5,64,224,4,C:\Users\Tiago\Documents\GitHub\privacy-fer\results\models\resnet18_noise_50p0_tradeoff_noise_50p0_nw4_metrics.json,C:\Users\Tiago\Documents\GitHub\privacy-fer\results\models\resnet18_noise_50p0_tradeoff_noise_50p0_nw4_best.pt
resnet18,0.7303721488595438,0.7325198757568859,0.7303721488595437,0.7288137295379856,0.7303721488595437,noise,noise,100.0,resnet18_noise_100p0_tradeoff_noise_100p0_nw4,5,5,64,224,4,C:\Users\Tiago\Documents\GitHub\privacy-fer\results\models\resnet18_noise_100p0_tradeoff_noise_100p0_nw4_metrics.json,C:\Users\Tiago\Documents\GitHub\privacy-fer\results\models\resnet18_noise_100p0_tradeoff_noise_100p0_nw4_best.pt
resnet18,0.5791116446578631,0.5877863600582193,0.5791116446578631,0.5789084497151012,0.5791116446578631,noise,noise,250.0,resnet18_noise_250p0_tradeoff_noise_250p0_nw4,5,5,64,224,4,C:\Users\Tiago\Documents\GitHub\privacy-fer\results\models\resnet18_noise_250p0_tradeoff_noise_250p0_nw4_metrics.json,C:\Users\Tiago\Documents\GitHub\privacy-fer\results\models\resnet18_noise_250p0_tradeoff_noise_250p0_nw4_best.pt
